"","INSTNM","SCH_DEG","HCM2","MAIN","NUMBRANCH","PREDDEG","HIGHDEG","CONTROL","REGION","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY"
"1513","Assumption College",3,0,1,1,3,4,2,1,12,6,4,"0","0","0","0","0","0","0","0","0"
"1514","Babson College",3,0,1,1,3,4,2,1,23,8,4,"0","0","0","0","0","0","0","0","0"
"1515","Bancroft School of Massage Therapy",1,0,1,1,1,1,3,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1516","Boston Baptist College",3,0,1,1,3,3,2,1,18,5,18,"0","0","0","0","0","0","0","0","0"
"1517","Bay Path University",3,0,1,1,3,4,2,1,11,17,19,"0","0","0","0","0","0","0","0","1"
"1518","Bay State College",3,0,1,1,3,3,3,1,16,17,16,"0","0","0","0","0","0","0","0","0"
"1519","Bay State School of Technology",1,1,1,1,1,1,3,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1520","Becker College",3,0,1,1,3,4,2,1,16,7,4,"0","0","0","0","0","0","0","0","0"
"1521","Bentley University",3,0,1,1,3,4,2,1,11,8,7,"0","0","0","0","0","0","0","0","0"
"1522","Berklee College of Music",3,0,1,1,3,4,2,1,25,17,5,"0","0","0","0","0","0","0","0","0"
"1523","Berkshire Community College",2,0,1,1,2,2,1,1,29,3,12,"0","0","0","0","0","0","0","0","0"
"1524","Empire Beauty School-Boston",1,0,0,8,1,1,3,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1525","Boston Architectural College",3,0,1,1,3,4,2,1,25,5,16,"0","0","0","0","0","0","0","0","0"
"1526","Boston Graduate School of Psychoanalysis Inc",3,0,1,1,4,4,2,1,20,2,11,"0","0","0","0","0","0","0","0","0"
"1527","Boston College",3,0,1,1,3,4,2,1,8,8,10,"0","0","0","0","0","0","0","0","0"
"1528","Boston University",3,0,1,1,3,4,2,1,8,8,10,"0","0","0","0","0","0","0","0","0"
"1529","Brandeis University",3,0,1,1,3,4,2,1,8,8,7,"0","0","0","0","0","0","0","0","0"
"1530","Bridgewater State University",3,0,1,1,3,4,1,1,11,7,6,"0","0","0","0","0","0","0","0","0"
"1531","Bristol Community College",2,0,1,1,2,2,1,1,2,10,13,"0","0","0","0","0","0","0","0","0"
"1532","Signature Healthcare Brockton Hospital School of Nursing",1,0,1,1,1,1,2,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1533","Bunker Hill Community College",2,0,1,1,2,2,1,1,2,3,14,"0","0","0","0","1","0","0","0","0"
"1534","Cambridge College",3,0,1,1,3,4,2,1,11,13,19,"0","0","0","0","0","1","0","0","0"
"1535","Cape Cod Community College",2,0,1,1,2,2,1,1,13,3,12,"0","0","0","0","0","0","0","0","0"
"1536","Catherine Hinds Institute of Esthetics",1,0,1,1,1,1,3,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1537","Laboure College",2,0,1,1,2,3,2,1,20,13,16,"0","0","0","0","0","0","0","0","0"
"1538","Clark University",3,0,1,1,3,4,2,1,9,6,7,"0","0","0","0","0","0","0","0","0"
"1539","Conway School of Landscape Design",1.92616959064327,0,1,1,4,4,2,1,25,2,11,"0","0","0","0","0","0","0","0","0"
"1540","Curry College",3,0,1,1,3,4,2,1,12,4,4,"0","0","0","0","0","0","0","0","0"
"1541","Lincoln Technical Institute-Somerville",1,0,0,9,1,1,3,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1542","Dean College",2,0,1,1,2,3,2,1,17,4,4,"0","0","0","0","0","0","0","0","0"
"1543","Diman Regional Technical Institute",1,0,1,1,1,1,1,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1544","National Aviation Academy of New England",1,0,1,1,1,1,3,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1545","Eastern Nazarene College",3,0,1,1,3,4,2,1,16,5,18,"0","0","0","0","0","0","0","0","0"
"1546","Emerson College",3,0,1,1,3,4,2,1,11,8,7,"0","0","0","0","0","0","0","0","0"
"1547","Emmanuel College",3,0,1,1,3,4,2,1,15,8,4,"0","0","0","0","0","0","0","0","0"
"1548","Endicott College",3,0,1,1,3,4,2,1,11,4,7,"0","0","0","0","0","0","0","0","0"
"1549","Rob Roy Academy-Fall River",1,0,1,1,1,1,3,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1550","Fisher College",3,0,1,1,3,4,2,1,16,13,19,"0","0","0","0","0","0","0","0","0"
"1551","Fitchburg State University",3,0,1,1,3,4,1,1,11,7,6,"0","0","0","0","0","0","0","0","0"
"1552","Framingham State University",3,0,1,1,3,4,1,1,11,5,6,"0","0","0","0","0","0","0","0","0"
"1553","Benjamin Franklin Institute of Technology",2,0,1,1,2,3,1,1,22,5,16,"0","0","0","0","1","0","0","0","0"
"1554","Gordon College",3,0,1,1,3,4,2,1,15,6,4,"0","0","0","0","0","0","0","0","0"
"1555","Gordon-Conwell Theological Seminary",3,0,1,1,4,4,2,1,18,2,11,"0","0","0","0","0","0","0","0","0"
"1556","Greenfield Community College",2,0,1,1,2,2,1,1,29,3,12,"0","0","0","0","0","0","0","0","0"
"1557","Hampshire College",3,0,1,1,3,3,2,1,15,6,4,"0","0","0","0","0","0","0","0","0"
"1558","Harvard University",3,0,1,1,3,4,2,1,8,8,10,"0","0","0","0","0","0","0","0","0"
"1559","Hebrew College",3,0,1,1,3,4,2,1,18,2,16,"0","0","0","0","0","0","0","0","0"
"1560","Hellenic College-Holy Cross Greek Orthodox School of Theology",3,0,1,1,3,4,2,1,18,7,18,"0","0","0","0","0","0","0","0","0"
"1561","College of the Holy Cross",3,0,1,1,3,3,2,1,15,8,4,"0","0","0","0","0","0","0","0","0"
"1562","Holyoke Community College",2,0,1,1,2,2,1,1,2,10,13,"0","0","0","0","0","1","0","0","0"
"1563","Lasell College",3,0,1,1,3,4,2,1,12,6,4,"0","0","0","0","0","0","0","0","0"
"1564","Lawrence Memorial Hospital School of Nursing",2,0,1,1,2,2,2,1,3,3,2,"0","0","0","0","0","0","0","0","0"
"1565","Lesley University",3,0,1,1,3,4,2,1,10,17,6,"0","0","0","0","0","0","0","0","0"
"1566","Longy School of Music of Bard College",3,0,0,3,1,4,2,1,25,4,16,"0","0","0","0","0","0","0","0","0"
"1567","Lowell Academy Hairstyling Institute",1,0,1,1,1,1,3,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1568","University of Massachusetts-Lowell",3,0,1,1,3,4,1,1,9,17,9,"0","0","0","0","0","0","0","0","0"
"1569","Mansfield Beauty Schools-Springfield",1,0,1,1,1,1,3,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1570","Mansfield Beauty Schools-Quincy",1,0,1,1,1,1,3,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1571","University of Massachusetts-Amherst",3,0,1,1,3,4,1,1,8,9,10,"0","0","0","0","0","0","0","0","0"
"1572","University of Massachusetts-Boston",3,0,1,1,3,4,1,1,9,17,8,"0","0","0","0","1","0","0","0","0"
"1573","Massachusetts Bay Community College",2,0,1,1,2,2,1,1,13,3,13,"0","0","0","0","0","0","0","0","0"
"1574","MCPHS University",3,0,1,1,3,4,2,1,20,7,6,"0","0","0","0","0","0","0","0","0"
"1575","Massachusetts College of Art and Design",3,0,1,1,3,4,1,1,25,7,4,"0","0","0","0","0","0","0","0","0"
"1576","Massachusetts Institute of Technology",3,0,1,1,3,4,2,1,8,8,10,"0","0","0","0","0","0","0","0","0"
"1577","Massachusetts Maritime Academy",3,0,1,1,3,4,1,1,16,6,4,"0","0","0","0","0","0","0","0","0"
"1578","University of Massachusetts Medical School Worcester",3,0,1,1,4,4,1,1,19,2,11,"0","0","0","0","0","0","0","0","0"
"1579","William James College",3,0,1,1,4,4,2,1,20,13,16,"0","0","0","0","0","0","0","0","0"
"1580","Massachusetts School of Barbering",1,0,1,1,1,1,3,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1581","Massasoit Community College",2,0,1,1,2,2,1,1,32,10,13,"0","0","0","0","0","0","0","0","0"
"1582","Merrimack College",3,0,1,1,3,4,2,1,11,4,7,"0","0","0","0","0","0","0","0","0"
"1583","MGH Institute of Health Professions",3,0,1,1,3,4,2,1,20,2,19,"0","0","0","0","0","0","0","0","0"
"1584","Middlesex Community College",2,0,1,1,2,2,1,1,2,3,13,"0","0","0","0","1","0","0","0","0"
"1585","Montserrat College of Art",3,0,1,1,3,3,2,1,25,4,18,"0","0","0","0","0","0","0","0","0"
"1586","Mount Holyoke College",3,0,1,1,3,4,2,1,15,8,4,"0","0","0","0","0","0","0","0","1"
"1587","Mount Ida College",3,0,1,1,3,4,2,1,16,5,4,"0","0","0","0","0","0","0","0","0"
"1588","Mount Wachusett Community College",2,0,1,1,2,2,1,1,29,3,13,"0","0","0","0","0","0","0","0","0"
"1589","Rob Roy Academy-New Bedford",1,0,1,1,1,1,3,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1590","The New England Conservatory of Music",3,0,1,1,3,4,2,1,25,8,18,"0","0","0","0","0","0","0","0","0"
"1591","New England College of Optometry",3,0,1,1,3,4,2,1,20,2,11,"0","0","0","0","0","0","0","0","0"
"1592","New England Law-Boston",3,0,1,1,4,4,2,1,26,2,11,"0","0","0","0","0","0","0","0","0"
"1593","New England School of Photography",1,0,1,1,1,1,3,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1594","Newbury College",3,0,1,1,3,3,2,1,16,6,17,"0","0","0","0","0","0","0","0","0"
"1595","Nichols College",3,0,1,1,3,4,2,1,23,4,4,"0","0","0","0","0","0","0","0","0"
"1596","Massachusetts College of Liberal Arts",3,0,1,1,3,4,1,1,15,7,4,"0","0","0","0","0","0","0","0","0"
"1597","North Bennet Street School",1,0,1,1,1,1,2,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1598","North Shore Community College",2,0,1,1,2,2,1,1,29,3,13,"0","0","0","0","0","0","0","0","0"
"1599","Northeastern University",3,0,1,1,3,4,2,1,8,8,10,"0","0","0","0","0","0","0","0","0"
"1600","Northern Essex Community College",2,0,1,1,2,2,1,1,29,3,13,"0","0","0","0","0","1","0","0","0"
"1601","College of Our Lady of the Elms",3,0,1,1,3,4,2,1,12,5,3,"0","0","0","0","0","0","0","0","0"
"1602","Pine Manor College",3,0,1,1,3,4,2,1,15,9,18,"0","0","0","0","0","0","0","0","0"
"1603","Pope St John XXIII National Seminary",1.92616959064327,0,1,1,4,4,2,1,18,2,11,"0","0","0","0","0","0","0","1","0"
"1604","Quincy College",2,0,1,1,2,2,1,1,30,3,13,"0","0","0","0","0","0","0","0","0"
"1605","Quinsigamond Community College",2,0,1,1,2,2,1,1,29,3,13,"0","0","0","0","0","0","0","0","0"
"1606","Regis College",3,0,1,1,3,4,2,1,20,4,4,"0","0","0","0","0","0","0","0","0"
"1607","Roxbury Community College",2,1,1,1,2,2,1,1,2,3,12,"0","0","0","0","0","0","0","0","0"
"1608","Saint John's Seminary",1.92616959064327,0,1,1,3,4,2,1,18,5,18,"0","0","0","0","0","0","0","1","0"
"1609","Salem State University",3,0,1,1,3,4,1,1,11,7,6,"0","0","0","0","0","0","0","0","0"
"1610","Salter College-West Boylston",1,0,1,6,1,2,3,1,3,11,2,"0","0","0","0","0","0","0","0","0"
"1611","Simmons University",3,0,1,1,3,4,2,1,10,8,7,"0","0","0","0","0","0","0","0","1"
"1612","Bard College at Simon's Rock",2,0,1,1,2,3,2,1,17,6,18,"0","0","0","0","0","0","0","0","0"
"1613","Smith College",3,0,1,1,3,4,2,1,15,8,4,"0","0","0","0","0","0","0","0","1"
"1614","Southeastern Technical Institute",1,0,1,1,1,1,1,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1615","Springfield College",3,0,1,1,3,4,2,1,11,6,7,"0","0","0","0","0","0","0","0","0"
"1616","Springfield Technical Community College",2,0,1,1,2,2,1,1,32,10,13,"0","0","0","0","0","1","0","0","0"
"1617","University of Massachusetts-Dartmouth",3,0,1,1,3,4,1,1,9,7,7,"0","0","0","0","0","0","0","0","0"
"1618","Stonehill College",3,0,1,1,3,3,2,1,15,6,4,"0","0","0","0","0","0","0","0","0"
"1619","Suffolk University",3,0,1,1,3,4,2,1,11,7,6,"0","0","0","0","0","0","0","0","0"
"1620","Rob Roy Academy-Taunton",1,0,1,1,1,1,3,1,1,1,1,"0","0","0","0","0","0","0","0","0"
"1621","Tufts University",3,0,1,1,3,4,2,1,8,8,10,"0","0","0","0","0","0","0","0","0"
"1622","Wellesley College",3,0,1,1,3,3,2,1,15,8,4,"0","0","0","0","0","0","0","0","1"
"1623","Wentworth Institute of Technology",3,0,1,1,3,4,2,1,12,8,7,"0","0","0","0","0","0","0","0","0"
"1624","Western New England University",3,0,1,1,3,4,2,1,10,6,7,"0","0","0","0","0","0","0","0","0"
"1625","Westfield State University",3,0,1,1,3,4,1,1,12,7,7,"0","0","0","0","0","0","0","0","0"
"1626","Wheaton College",3,0,1,1,3,3,2,1,15,8,4,"0","0","0","0","0","0","0","0","0"
"1627","Wheelock College",1.92616959064327,0,1,1,3,4,2,1,12,4,18,"0","0","0","0","0","0","0","0","0"
"1628","Williams College",3,0,1,1,3,4,2,1,15,8,4,"0","0","0","0","0","0","0","0","0"
"1629","Worcester Polytechnic Institute",3,0,1,1,3,4,2,1,9,8,6,"0","0","0","0","0","0","0","0","0"
"1630","Worcester State University",3,0,1,1,3,4,1,1,11,7,6,"0","0","0","0","0","0","0","0","0"
"1631","Adrian College",3,0,1,1,3,4,2,3,16,4,4,"0","0","0","0","0","0","0","0","0"
"1632","Albion College",3,0,1,1,3,3,2,3,15,6,4,"0","0","0","0","0","0","0","0","0"
"1633","Hillsdale Beauty College",1,0,1,1,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1634","Northwestern Technological Institute",1,0,1,1,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1635","Alma College",3,0,1,1,3,3,2,3,16,6,4,"0","0","0","0","0","0","0","0","0"
"1636","Alpena Community College",2,0,1,1,2,2,1,3,7,14,16,"0","0","0","0","0","0","0","0","0"
"1637","Andrews University",3,0,1,1,3,4,2,3,10,7,4,"0","0","0","0","1","0","0","0","0"
"1638","Aquinas College",3,0,1,1,3,4,2,3,15,6,4,"0","0","0","0","0","0","0","0","0"
"1639","Baker College",2,0,1,10,2,4,2,3,11,13,5,"0","0","0","0","0","0","0","0","0"
"1640","Bay de Noc Community College",2,0,1,1,2,2,1,3,29,3,12,"0","0","0","0","0","0","0","0","0"
"1641","Bayshire Academy of Beauty Craft Inc",1,0,1,1,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1642","Cadillac Institute of Cosmetology",1,0,0,2,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1643","Calvin College",3,0,1,1,3,4,2,3,14,8,7,"0","0","0","0","0","0","0","0","0"
"1644","Calvin Theological Seminary",3,0,1,1,4,4,2,3,18,2,11,"0","0","0","0","0","0","0","0","0"
"1645","Carnegie Institute",1,0,1,1,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1646","Michigan School of Psychology",3,0,1,1,4,4,2,3,20,2,11,"0","0","0","0","0","0","0","0","0"
"1647","Central Michigan University",3,0,1,1,3,4,1,3,9,7,9,"0","0","0","0","0","0","0","0","0"
"1648","Mott Community College",2,0,1,1,2,2,1,3,2,3,13,"0","0","0","0","0","0","0","0","0"
"1649","Empire Beauty School-Michigan",1,0,1,8,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1650","Cleary University",3,0,1,1,3,4,2,3,23,15,16,"0","0","0","0","0","0","0","0","0"
"1651","Concordia University-Ann Arbor",3,0,0,2,3,4,2,3,16,7,18,"0","0","0","0","0","0","0","0","0"
"1652","Cranbrook Academy of Art",3,0,1,1,4,4,2,3,25,2,11,"0","0","0","0","0","0","0","0","0"
"1653","College for Creative Studies",3,0,1,1,3,4,2,3,25,7,3,"0","0","0","0","0","0","0","0","0"
"1654","Davenport University",3,0,1,14,3,4,2,3,11,13,5,"0","0","0","0","0","0","0","0","0"
"1655","David Pressley School of Cosmetology",1,0,1,1,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1656","Delta College",2,0,1,1,2,2,1,3,29,3,13,"0","0","0","0","0","0","0","0","0"
"1657","Detroit Business Institute-Downriver",1,0,1,1,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1658","Michigan State University-College of Law",3,0,1,1,4,4,2,3,26,2,11,"0","0","0","0","0","0","0","0","0"
"1659","MIAT College of Technology",1,0,1,1,1,2,3,3,4,12,12,"0","0","0","0","0","0","0","0","0"
"1660","University of Detroit Mercy",3,0,1,1,3,4,2,3,10,7,6,"0","0","0","0","0","0","0","0","0"
"1661","Dorsey Business Schools-Madison Heights",1,0,0,9,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1662","Dorsey Business Schools-Southgate",1,0,1,9,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1663","Eastern Michigan University",3,0,1,1,3,4,1,3,9,17,9,"0","0","0","0","0","0","0","0","0"
"1664","Creative Hair School of Cosmetology",1,0,1,1,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1665","Ferris State University",3,0,1,1,3,4,1,3,10,15,9,"0","0","0","0","0","0","0","0","0"
"1666","Flint Institute of Barbering Inc",1,0,1,1,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1667","Glen Oaks Community College",2,0,1,1,2,2,1,3,31,3,12,"0","0","0","0","0","0","0","0","0"
"1668","Kettering University",3,0,1,1,3,4,2,3,12,8,19,"0","0","0","0","0","0","0","0","0"
"1669","Gogebic Community College",2,0,1,1,2,2,1,3,32,10,12,"0","0","0","0","0","0","0","0","0"
"1670","Grace Christian University",2,0,1,1,2,3,2,3,18,7,16,"0","0","0","0","0","0","0","0","0"
"1671","Cornerstone University",3,0,1,1,3,4,2,3,12,14,3,"0","0","0","0","0","0","0","0","0"
"1672","Grand Rapids Community College",2,0,1,1,2,2,1,3,29,3,14,"0","0","0","0","0","0","0","0","0"
"1673","Grand Valley State University",3,0,1,1,3,4,1,3,11,7,9,"0","0","0","0","0","0","0","0","0"
"1674","Great Lakes Christian College",3,0,1,1,3,3,2,3,18,5,18,"0","0","0","0","0","0","0","0","0"
"1675","Henry Ford College",2,0,1,1,2,2,1,3,7,13,5,"0","0","0","0","0","0","0","0","0"
"1676","Hillsdale College",1.92616959064327,0,1,1,3,4,2,3,15,8,4,"0","0","0","0","0","0","0","0","0"
"1677","Hope College",3,0,1,1,3,3,2,3,15,8,7,"0","0","0","0","0","0","0","0","0"
"1678","Jackson College",2,0,1,1,2,3,1,3,7,13,19,"0","0","0","0","0","0","0","0","0"
"1679","Kalamazoo College",3,0,1,1,3,3,2,3,15,8,4,"0","0","0","0","0","0","0","0","0"
"1680","Kalamazoo Valley Community College",2,0,1,1,2,2,1,3,2,3,13,"0","0","0","0","0","0","0","0","0"
"1681","Kellogg Community College",2,0,1,1,2,2,1,3,29,3,13,"0","0","0","0","0","0","0","0","0"
"1682","Kirtland Community College",2,0,1,1,2,2,1,3,33,3,12,"0","0","0","0","0","0","0","0","0"
"1683","Michigan College of Beauty-Monroe",1,0,1,1,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1684","Lake Michigan College",2,0,1,1,2,3,1,3,7,13,19,"0","0","0","0","0","0","0","0","0"
"1685","Lake Superior State University",3,0,1,1,3,3,1,3,16,7,4,"0","0","0","0","0","0","0","0","0"
"1686","Lansing Community College",2,0,1,1,2,2,1,3,29,3,14,"0","0","0","0","0","0","0","0","0"
"1687","Lawrence Technological University",3,0,1,1,3,4,2,3,11,17,3,"0","0","0","0","0","0","0","0","0"
"1688","M J Murphy Beauty College of Mount Pleasant",1,0,1,1,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1689","Macomb Community College",2,0,1,1,2,2,1,3,30,3,15,"0","0","0","0","0","0","0","0","0"
"1690","Madonna University",3,0,1,1,3,4,2,3,11,13,19,"0","0","0","0","0","0","0","0","0"
"1691","Marygrove College",3,1,1,1,3,4,2,3,11,15,17,"0","0","0","0","0","0","0","0","0"
"1692","Rochester College",3,0,1,1,3,4,2,3,16,15,17,"0","0","0","0","0","0","0","0","0"
"1693","University of Michigan-Ann Arbor",3,0,1,1,3,4,1,3,8,8,9,"0","0","0","0","0","0","0","0","0"
"1694","Michigan Barber School Inc",1,0,1,1,1,1,2,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1695","Michigan State University",3,0,1,1,3,4,1,3,8,8,9,"0","0","0","0","0","0","0","0","0"
"1696","Michigan Technological University",3,0,1,1,3,4,1,3,9,8,7,"0","0","0","0","0","0","0","0","0"
"1697","University of Michigan-Dearborn",3,0,1,1,3,4,1,3,11,17,5,"0","0","0","0","0","0","0","0","0"
"1698","University of Michigan-Flint",3,0,1,1,3,4,1,3,10,15,5,"0","0","0","0","0","0","0","0","0"
"1699","Mid Michigan College",2,0,1,1,2,2,1,3,30,3,13,"0","0","0","0","0","0","0","0","0"
"1700","Monroe County Community College",2,0,1,1,2,2,1,3,30,3,12,"0","0","0","0","0","0","0","0","0"
"1701","Montcalm Community College",1,0,1,1,1,2,1,3,29,3,12,"0","0","0","0","0","0","0","0","0"
"1702","Mr Bela's School of Cosmetology Inc",1,0,1,1,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1703","Muskegon Community College",2,0,1,1,2,2,1,3,30,3,13,"0","0","0","0","0","0","0","0","0"
"1704","Altierus Career Education-Southfield",1,0,1,7,1,1,2,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1705","North Central Michigan College",2,0,1,1,2,2,1,3,13,3,12,"0","0","0","0","0","0","0","0","0"
"1706","Northern Michigan University",3,0,1,1,3,4,1,3,12,7,6,"0","0","0","0","0","0","0","0","0"
"1707","Northwestern Michigan College",2,0,1,1,2,3,1,3,7,13,19,"0","0","0","0","0","0","0","0","0"
"1708","Northwood University",3,0,1,1,3,4,2,3,23,17,3,"0","0","0","0","0","0","0","0","0"
"1709","Oakland Community College",2,0,1,1,2,2,1,3,24,3,14,"0","0","0","0","0","0","0","0","0"
"1710","Oakland University",3,0,1,1,3,4,1,3,9,7,8,"0","0","0","0","0","0","0","0","0"
"1711","Olivet College",3,0,1,1,3,4,2,3,16,6,4,"0","0","0","0","0","0","0","0","0"
"1712","Port Huron Cosmetology College",1,0,1,1,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1713","Kuyper College",3,0,1,1,3,3,2,3,16,7,18,"0","0","0","0","0","0","0","0","0"
"1714","Ross Medical Education Center-Lansing",1,0,1,7,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1715","Ross Medical Education Center-Madison Heights",1,0,1,7,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1716","Ross Medical Education Center-Flint",1,0,1,9,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1717","Sacred Heart Major Seminary",1,0,1,1,1,4,2,3,18,13,16,"0","0","0","0","0","0","0","0","0"
"1718","Saginaw Valley State University",3,0,1,1,3,4,1,3,11,7,6,"0","0","0","0","0","0","0","0","0"
"1719","Schoolcraft College",2,0,1,1,2,3,1,3,7,13,5,"0","0","0","0","0","0","0","0","0"
"1720","Siena Heights University",3,0,1,1,3,4,2,3,14,13,3,"0","0","0","0","0","0","0","0","0"
"1721","St Clair County Community College",2,0,1,1,2,2,1,3,13,3,13,"0","0","0","0","0","0","0","0","0"
"1722","Southwestern Michigan College",2,0,1,1,2,2,1,3,2,10,12,"0","0","0","0","0","0","0","0","0"
"1723","Specs Howard School of Media Arts",1,0,1,1,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1724","Spring Arbor University",3,0,1,1,3,4,2,3,11,17,3,"0","0","0","0","0","0","0","0","0"
"1725","Michigan Career and Technical Institute",1,0,1,1,1,1,1,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1726","Finlandia University",3,0,1,1,3,3,2,3,16,5,18,"0","0","0","0","0","0","0","0","0"
"1727","Western Michigan University-Thomas M. Cooley Law School",3,0,1,1,4,4,2,3,26,2,11,"0","0","0","0","0","0","0","0","0"
"1728","Twin City Beauty College",1,0,1,1,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1729","Walsh College",3,0,1,1,3,4,2,3,23,13,16,"0","0","0","0","0","0","0","0","0"
"1730","Washtenaw Community College",1,0,1,1,1,2,1,3,13,3,14,"0","0","0","0","0","0","0","0","0"
"1731","Wayne County Community College District",2,0,1,1,2,2,1,3,13,3,14,"0","1","0","0","0","0","0","0","0"
"1732","Wayne State University",3,0,1,1,3,4,1,3,8,17,8,"0","0","0","0","0","0","0","0","0"
"1733","West Shore Community College",2,0,1,1,2,2,1,3,30,3,12,"0","0","0","0","0","0","0","0","0"
"1734","Paul Mitchell the School-Grand Rapids",1,0,1,1,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1735","Western Michigan University",3,0,1,1,3,4,1,3,9,7,9,"0","0","0","0","0","0","0","0","0"
"1736","Western Theological Seminary",3,0,1,1,4,4,2,3,18,2,11,"0","0","0","0","0","0","0","0","0"
"1737","Wright Beauty Academy",1,0,1,1,1,1,3,3,1,1,1,"0","0","0","0","0","0","0","0","0"
"1738","Academy College",1,0,1,1,1,3,3,4,22,15,16,"0","0","0","0","0","0","0","0","0"
"1739","Alexandria Technical & Community College",2,0,1,1,2,2,1,4,34,10,12,"0","0","0","0","0","0","0","0","0"
"1740","American Indian OIC Inc",1,0,1,1,1,1,2,4,1,1,1,"0","0","0","0","0","0","0","0","0"
"1741","Anoka Technical College",1,0,1,1,1,2,1,4,32,10,12,"0","0","0","0","0","0","0","0","0"
"1742","Anoka-Ramsey Community College",2,0,1,2,2,2,1,4,24,3,14,"0","0","0","0","0","0","0","0","0"
"1743","Augsburg University",3,0,1,1,3,4,2,4,11,7,6,"0","0","0","0","0","0","0","0","0"
"1744","Riverland Community College",1,0,1,1,1,2,1,4,24,10,12,"0","0","0","0","0","0","0","0","0"
"1745","Northwest Technical College",1,0,1,1,1,2,1,4,34,3,12,"0","0","0","0","0","0","0","0","0"
"1746","Bemidji State University",3,0,1,1,3,4,1,4,14,17,6,"0","0","0","0","0","0","0","0","0"
"1747","Bethany Lutheran College",3,0,1,1,3,3,2,4,15,6,18,"0","0","0","0","0","0","0","0","0"
"1748","Bethel University",3,0,1,3,3,4,2,4,10,7,7,"0","0","0","0","0","0","0","0","0"
"1749","Bethel Seminary-St Paul",3,0,0,3,4,4,2,4,18,2,11,"0","0","0","0","0","0","0","0","0"
"1750","Central Lakes College-Brainerd",2,0,1,2,2,2,1,4,31,10,13,"0","0","0","0","0","0","0","0","0"
"1751","Carleton College",3,0,1,1,3,3,2,4,15,8,4,"0","0","0","0","0","0","0","0","0"
"1752","Concordia College at Moorhead",3,0,1,1,3,4,2,4,15,8,4,"0","0","0","0","0","0","0","0","0"
"1753","Concordia University-Saint Paul",3,0,1,1,3,4,2,4,11,13,5,"0","0","0","0","0","0","0","0","0"
"1754","Dakota County Technical College",1,0,1,1,1,2,1,4,32,10,12,"0","0","0","0","0","0","0","0","0"
"1755","Martin Luther College",3,0,1,1,3,4,2,4,27,6,18,"0","0","0","0","0","0","0","0","0"
"1756","Lake Superior College",2,0,1,1,2,2,1,4,31,3,13,"0","0","0","0","0","0","0","0","0"
"1757","Cosmetology Careers Unlimited College of Hair Skin and Nails",1,0,1,1,1,1,3,4,1,1,1,"0","0","0","0","0","0","0","0","0"
"1758","Duluth Business University",2,0,1,1,2,3,3,4,17,2,16,"0","0","0","0","0","0","0","0","0"
